# frequency  DOS
#THz  number
0 0.00991828
0.07 0.0109979
0.14 0.0112782
0.21 0.0109133
0.28 0.0101869
0.35 0.00935024
0.42 0.00854988
0.49 0.00785954
0.56 0.00733509
0.63 0.00702665
0.7 0.00695567
0.77 0.00710097
0.84 0.00740886
0.91 0.00780614
0.98 0.0082006
1.05 0.00848304
1.12 0.00855206
1.19 0.00835793
1.26 0.00793578
1.33 0.00740128
1.4 0.00691012
1.47 0.00660786
1.54 0.00659719
1.61 0.00692849
1.68 0.00759982
1.75 0.00855468
1.82 0.0096823
1.89 0.0108318
1.96 0.0118387
2.03 0.0125501
2.1 0.0128494
2.17 0.0126912
2.24 0.0121513
2.31 0.0114574
2.38 0.0109551
2.45 0.0109926
2.52 0.0117724
2.59 0.0132458
2.66 0.0151112
2.73 0.0169214
2.8 0.0182473
2.87 0.0188218
2.94 0.0186107
3.01 0.0178039
3.08 0.0167533
3.15 0.0158817
3.22 0.0155697
3.29 0.0160304
3.36 0.0172155
3.43 0.0188161
3.5 0.0203844
3.57 0.02152
3.64 0.0220142
3.71 0.0218743
3.78 0.0212375
3.85 0.0202602
3.92 0.0190666
3.99 0.0177776
4.06 0.0165586
4.13 0.0156114
4.2 0.0150882
4.27 0.0149936
4.34 0.0151627
4.41 0.0153425
4.48 0.0153187
4.55 0.0150058
4.62 0.0144616
4.69 0.0138475
4.76 0.0133662
4.83 0.0131961
4.9 0.0134342
4.97 0.0140642
5.04 0.0149662
5.11 0.0159638
5.18 0.0168838
5.25 0.0175994
5.32 0.0180435
5.39 0.0181924
5.46 0.0180405
5.53 0.0175908
5.6 0.0168746
5.67 0.0159888
5.74 0.0151121
5.81 0.0144699
5.88 0.0142489
5.95 0.014508
6.02 0.0151438
6.09 0.0159365
6.16 0.0166501
6.23 0.0171253
6.3 0.0173166
6.37 0.0172698
6.44 0.0170721
6.51 0.0168119
6.58 0.0165631
6.65 0.0163841
6.72 0.0163203
6.79 0.0163994
6.86 0.0166216
6.93 0.0169525
7 0.0173267
7.07 0.0176696
7.14 0.0179273
7.21 0.0180868
7.28 0.0181729
7.35 0.0182215
7.42 0.0182498
7.49 0.0182407
7.56 0.0181544
7.63 0.0179611
7.7 0.0176776
7.77 0.0173857
7.84 0.0172173
7.91 0.0173083
7.98 0.0177389
8.05 0.018493
8.12 0.0194554
8.19 0.0204487
8.26 0.0212912
8.33 0.0218484
8.4 0.0220628
8.47 0.0219598
8.54 0.0216344
8.61 0.0212248
8.68 0.0208747
8.75 0.0206925
8.82 0.0207251
8.89 0.0209596
8.96 0.0213562
9.03 0.0218879
9.1 0.0225575
9.17 0.0233774
9.24 0.0243331
9.31 0.0253646
9.38 0.0263817
9.45 0.0273
9.52 0.0280665
9.59 0.0286602
9.66 0.0290755
9.73 0.0293052
9.8 0.029334
9.87 0.0291474
9.94 0.0287502
10.01 0.0281844
10.08 0.0275313
10.15 0.0268894
10.22 0.026337
10.29 0.0258983
10.36 0.0255329
10.43 0.0251531
10.5 0.0246626
10.57 0.0239992
10.64 0.0231654
10.71 0.0222328
10.78 0.0213161
10.85 0.0205307
10.92 0.0199546
10.99 0.0196136
11.06 0.0194897
11.13 0.0195348
11.2 0.0196739
11.27 0.0198007
11.34 0.0197859
11.41 0.0195123
11.48 0.0189262
11.55 0.0180725
11.62 0.0170841
11.69 0.0161299
11.76 0.0153497
11.83 0.0148106
11.9 0.0144981
11.97 0.0143367
12.04 0.0142225
12.11 0.014056
12.18 0.0137673
12.25 0.0133307
12.32 0.012765
12.39 0.0121193
12.46 0.0114484
12.53 0.0107887
12.6 0.0101474
12.67 0.00950883
12.74 0.00885375
12.81 0.00818169
12.88 0.00752529
12.95 0.00695097
13.02 0.00654561
13.09 0.00639417
13.16 0.00655532
13.23 0.00704135
13.3 0.00780718
13.37 0.0087525
13.44 0.00973909
13.51 0.010622
13.58 0.0112872
13.65 0.0116835
13.72 0.0118337
13.79 0.0118148
13.86 0.0117181
13.93 0.0116076
14 0.0115041
14.07 0.0113976
14.14 0.0112727
14.21 0.0111228
14.28 0.0109425
14.35 0.010712
14.42 0.0103956
14.49 0.00996662
14.56 0.00944545
14.63 0.00891732
14.7 0.00850448
14.77 0.00829975
14.84 0.00830501
14.91 0.0084218
14.98 0.00850438
15.05 0.00843948
15.12 0.00820162
15.19 0.00785586
15.26 0.00751614
15.33 0.00728801
15.4 0.0072231
15.47 0.00730168
15.54 0.00744678
15.61 0.00756293
15.68 0.00758315
15.75 0.00750387
15.82 0.00739224
15.89 0.00736219
15.96 0.00753093
16.03 0.00797565
16.1 0.00870717
16.17 0.00966693
16.24 0.0107435
16.31 0.0118012
16.38 0.0127157
16.45 0.013408
16.52 0.013869
16.59 0.0141618
16.66 0.0143947
16.73 0.0146774
16.8 0.0150788
16.87 0.0156095
16.94 0.0162292
17.01 0.0168684
17.08 0.0174502
17.15 0.0179035
17.22 0.0181683
17.29 0.018199
17.36 0.0179726
17.43 0.0175074
17.5 0.0168858
17.57 0.0162607
17.64 0.0158221
17.71 0.0157261
17.78 0.0160212
17.85 0.0166213
17.92 0.0173484
17.99 0.0180184
18.06 0.0185151
18.13 0.018819
18.2 0.0189888
18.27 0.019124
18.34 0.0193292
18.41 0.0196892
18.48 0.020252
18.55 0.0210217
18.62 0.0219593
18.69 0.0229932
18.76 0.0240329
18.83 0.0249822
18.9 0.0257527
18.97 0.0262791
19.04 0.0265351
19.11 0.0265443
19.18 0.0263785
19.25 0.0261416
19.32 0.0259461
19.39 0.0258904
19.46 0.0260387
19.53 0.0264047
19.6 0.0269445
19.67 0.0275669
19.74 0.0281622
19.81 0.0286384
19.88 0.0289468
19.95 0.029085
20.02 0.0290797
20.09 0.0289619
20.16 0.0287483
20.23 0.0284394
20.3 0.0280306
20.37 0.0275297
20.44 0.0269709
20.51 0.0264182
20.58 0.0259539
20.65 0.0256525
20.72 0.0255532
20.79 0.0256456
20.86 0.0258766
20.93 0.0261714
21 0.0264566
21.07 0.0266738
21.14 0.0267835
21.21 0.0267637
21.28 0.0266069
21.35 0.0263214
21.42 0.0259355
21.49 0.0255011
21.56 0.0250878
21.63 0.0247654
21.7 0.024579
21.77 0.0245284
21.84 0.0245654
21.91 0.0246134
21.98 0.024603
22.05 0.0245059
22.12 0.0243478
22.19 0.0241928
22.26 0.0241053
22.33 0.0241133
22.4 0.0241942
22.47 0.02429
22.54 0.0243386
22.61 0.0243015
22.68 0.0241707
22.75 0.0239594
22.82 0.0236873
22.89 0.0233679
22.96 0.0230037
23.03 0.0225875
23.1 0.0221116
23.17 0.0215821
23.24 0.0210301
23.31 0.0205136
23.38 0.0201044
23.45 0.0198674
23.52 0.0198421
23.59 0.0200367
23.66 0.020435
23.73 0.0210065
23.8 0.021705
23.87 0.0224592
23.94 0.0231687
24.01 0.0237207
24.08 0.0240236
24.15 0.0240409
24.22 0.0238027
24.29 0.0233936
24.36 0.0229262
24.43 0.0225138
24.5 0.0222469
24.57 0.022174
24.64 0.0222926
24.71 0.0225523
24.78 0.0228739
24.85 0.0231754
24.92 0.0233964
24.99 0.0235105
25.06 0.0235225
25.13 0.0234551
25.2 0.0233355
25.27 0.0231873
25.34 0.0230246
25.41 0.0228461
25.48 0.0226334
25.55 0.0223603
25.62 0.0220144
25.69 0.0216167
25.76 0.0212256
25.83 0.0209191
25.9 0.0207642
25.97 0.0207899
26.04 0.0209742
26.11 0.0212519
26.18 0.0215404
26.25 0.0217721
26.32 0.0219184
26.39 0.0219959
26.46 0.0220513
26.53 0.0221325
26.6 0.0222601
26.67 0.0224198
26.74 0.0225806
26.81 0.0227251
26.88 0.0228661
26.95 0.0230363
27.02 0.0232618
27.09 0.0235405
27.16 0.0238427
27.23 0.0241281
27.3 0.0243647
27.37 0.0245381
27.44 0.0246471
27.51 0.0246921
27.58 0.0246643
27.65 0.024544
27.72 0.024312
27.79 0.0239678
27.86 0.023543
27.93 0.023096
28 0.0226911
28.07 0.0223754
28.14 0.0221681
28.21 0.0220662
28.28 0.0220581
28.35 0.0221339
28.42 0.0222854
28.49 0.0224975
28.56 0.0227404
28.63 0.0229706
28.7 0.0231456
28.77 0.023242
28.84 0.0232638
28.91 0.0232331
28.98 0.023169
29.05 0.0230709
29.12 0.0229209
29.19 0.0227006
29.26 0.0224111
29.33 0.0220773
29.4 0.0217345
29.47 0.0214091
29.54 0.0211075
29.61 0.0208232
29.68 0.0205537
29.75 0.0203115
29.82 0.0201202
29.89 0.0199984
29.96 0.0199458
30.03 0.0199409
30.1 0.0199514
30.17 0.0199478
30.24 0.0199143
30.31 0.0198528
30.38 0.019782
30.45 0.01973
30.52 0.0197215
30.59 0.0197657
30.66 0.0198521
30.73 0.0199569
30.8 0.0200579
30.87 0.0201465
30.94 0.0202305
31.01 0.0203261
31.08 0.0204452
31.15 0.0205844
31.22 0.0207237
31.29 0.0208356
31.36 0.0208989
31.43 0.0209082
31.5 0.020874
31.57 0.0208137
31.64 0.0207423
31.71 0.0206661
31.78 0.0205814
31.85 0.0204772
31.92 0.0203415
31.99 0.0201683
